"","sample01","sample02","sample03","sample04","sample05","sample06","sample07","sample08","sample09","sample10","sample11","sample12","sample13","sample14","sample15","sample16","sample17","sample18","sample19","sample20","sample21","sample22","sample23","sample24","sample25","sample26","sample27","sample28","sample29","sample30","sample31","sample32","sample33","sample34","sample35","sample36","sample37","sample38","sample39","sample40","sample41","sample42","sample43","sample44","sample45","sample46","sample47","sample48","sample49","sample50","sample51","sample52","sample53","sample54","sample55","sample56","sample57","sample58","sample59","sample60","sample61","sample62","sample63","sample64","sample65","sample66","sample67","sample68","sample69","sample70","sample71"
"CXCL9",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25.72,20,209.16,71.79,20,38.51,29.16,206.95,156.72,52,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,29.58,22.64,20,20,20,20,20,20,20,20,20,20,20,21.4,20,20,20,20,20,20,20,20,20,20,20,20,20
"CXCR1",302.34,343.66,116.74,612.37,209.99,327.63,368.35,378.13,444.24,257.21,449.48,511.72,133.25,723.83,375.16,693.07,988.85,1332.94,1918.56,921.04,399.9,295.78,435.15,273.28,405.24,54.84,601.26,140.68,170.03,203.44,87.76,233.87,536.42,1868.65,473.71,1430.2,1491.1,1215.2,971.12,175.09,475.13,183.12,211.06,94.13,85.23,283.91,221.26,120.67,248.52,191.42,167.2,299.06,90.53,253.51,218.52,147.51,139.8,50.29,89.14,49.75,45.35,362.87,96.33,154.05,123.19,157.41,287.01,188.33,98.13,192.82,128.81
"CXCR2",403.99,651.73,231.23,847.99,318.44,471.1,662.23,726.25,615.96,454.94,566.63,758.15,187.7,1013.37,694.04,1077.53,2779.37,3077.1,4223.3,2261.48,609.23,588.43,800.95,584.75,732.96,43.29,682.07,370.29,500.65,692.92,298.94,584.27,1191.27,4615.04,1695.6,3948.69,3546,3518.91,2802.83,254.06,944.33,416.73,529.27,158.01,166.93,508.6,265.21,180.43,333.7,225.32,205.64,320.27,177.55,267.38,341.32,238.91,122.08,58.85,100.13,70.23,104.51,675.69,153.32,265.69,372.16,321.11,388.8,258.96,213.18,386.61,256.6
"CXCR3",50.82,75.63,60.61,41.12,61.15,46.53,70.48,51.02,44.8,56.5,45.43,57.78,44.42,41.98,53.77,51.43,74.87,62.04,71.79,65.79,80.97,339.52,177.86,225.28,342.44,363.67,154.77,89.66,57.54,20,76.79,73.94,31.35,77.29,55.73,58.61,81.6,82.11,69.26,62.8,71.05,52.2,189.14,206.76,156.37,188.98,69.71,80.44,149.35,75.77,105.7,61.51,32.28,61.8,70.43,61.54,20,41.73,42.74,20,42.39,20,54.27,53.7,54.18,56.67,20,20,53.01,39.33,53.16
"CXCR4",982.6,1609.32,932.78,1119.17,998.02,684.35,1118.34,801.28,735.42,588.75,924.07,1287.57,610.39,940.98,697.79,1640.73,2415.97,1747.71,1651.2,1720.78,1052.57,779.02,883.72,858.03,801.64,304.5,834.1,595.53,582.23,627.15,896.81,793.23,606.08,938.47,1054.7,869.45,1309.35,2550.04,2267.91,479.58,851.08,517.7,754.13,1127.94,701.53,911.82,622.86,494.16,903.09,1437.66,866.76,612.97,459.66,634.4,1034.8,827.13,458.79,313.49,360.24,630.61,491.96,558.53,504.72,684.02,1316.44,662.68,523.96,578.73,474.87,1246.16,692.11
"CXCR6",43.01,44.49,41.53,46.68,39.23,20,27.93,20,20,20,20,25.94,20,34.74,20,32.15,20,109.9,66.84,43.17,51.35,272.87,257.29,163.57,284.55,316.05,82.18,27.7,24.04,20,20,34.56,20,20,20,20,20,20,33.89,20.93,48.84,24.82,39.78,58.83,46.49,152.41,30.31,47.12,58.34,20,61.5,20,23.86,20,20,20,20,81.31,31.75,20,37.46,20,61.05,38.16,50.31,33.06,20,49.04,25.94,25.9,34.76
"CYBB",673.75,632.83,544.4,802.42,617.27,1157.38,1223.4,1641.57,2288.4,1645.83,2579.74,1936.06,1196.41,3022.73,2482.29,2520.24,2217.88,2210.34,3049.89,3521.74,2739.06,1455.98,2109.75,1833.6,1689.63,717.24,2540.64,410.38,486.91,390.05,400.41,436.4,398.25,1766.52,3462.26,3182.79,2722.56,2116.04,2480.11,955.36,2439.28,1732.81,1863.82,537.91,2426.48,2138.9,228.84,450.49,415.37,185.44,334.4,250.28,327.03,330.44,223.93,362.89,771.87,527.48,318.72,234.1,359.85,1218.29,664.82,559.65,958.47,481.66,604.06,451.21,365.46,570.8,423.24
"CYSLTR1",67.77,54.5,68.47,60.01,86.53,102.75,65.16,121.54,85.86,80.28,118.35,82.54,106.03,81.07,97.54,183.87,88.9,216.25,163.39,111.02,184.64,62.49,165.56,130.27,70.65,20,65.74,61.96,26.62,47.42,56.68,39.38,60.38,118.69,98.92,78.15,92.73,105.57,97.26,95.16,148.01,45.35,34.91,62.2,57.05,92.31,51.53,50.57,35,20,40.36,48.78,37.9,30.27,20,33.48,57.1,34.24,29.31,29.26,20,78.49,32.56,57.94,39.99,42.5,81.76,49.04,47.37,23.98,39.87
"CYSLTR2",39.1,40.04,35.92,30.01,36.92,20,20,31.51,20,31.22,20,20,20,20,31.26,39.86,20,205.61,94.07,20,77.02,59.36,324.41,241.93,48.08,20,20,28.43,20,20,25.6,20,23.22,20,20,20,20,20,20,20,37,20,20,36.98,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25.56
"DAXX",59.95,92.31,58.37,66.68,77.3,56.22,81.12,85.53,72.8,63.93,51.4,97.86,47.28,73.83,75.03,73.29,141.93,140.03,116.35,113.07,123.43,128.1,126.41,102.85,156.01,84.42,93.13,89.66,79.86,58.13,98.73,90.01,84.76,88.33,114.25,87.92,100.15,124.33,132.63,66.61,87.33,68.46,117.71,129.44,92.27,68.8,66.68,45.97,65.34,123.63,84.56,63.63,43.51,60.54,72.24,72.4,47.26,57.78,41.52,61.45,49.29,35.26,52.91,70.66,76.75,77.13,61.74,60.82,54.14,42.21,56.23
"DDIT3",52.13,64.51,40.41,60.01,66.92,116.32,121.01,130.55,147.46,92.18,131.5,173.33,70.21,270.71,123.8,181.3,564.61,494.53,636.22,363.89,328.81,128.1,217.02,160.64,122.65,54.12,116.42,33.53,44.65,38.24,35.65,47.42,67.34,607.24,253.57,470.87,608.31,335.47,383.14,55.19,148.01,77.01,70.62,52.11,54.94,87.09,57.59,40.22,51.34,55.83,51.89,97.57,142.46,112.25,79.46,79.64,114.21,51.36,340.7,269.21,154.79,118.3,50.2,83.38,52.24,58.24,70.08,20,51.89,53.72,62.36
"DDX58",121.2,103.43,105.51,98.91,93.46,1607.15,1642.28,2120.24,2027.08,2060.63,1829.01,2675.35,855.4,3525.07,2837.44,1429.85,2178.89,1533.23,1987.87,2693.22,477.9,287.45,517.93,409.43,477.85,138.54,573.87,63.42,65.26,41.3,56.68,72.33,38.32,2252.32,1564.64,1797.52,1465.14,2824.51,1279.11,238.84,876.24,308.06,221.61,136.16,228.21,404.09,166.7,150.55,301.03,107.67,132.61,156.95,193.69,76.93,84.88,150.22,63.01,73.83,53.73,114.12,66.06,493.69,77.34,128.61,238.65,306.94,158.52,41.2,85.72,198.58,106.32
"DEFA1",71.68,72.29,28.06,24.45,41.54,62.04,57.18,37.51,39.2,52.04,38.25,51.88,20,43.43,20,42.43,77.98,47.86,20,20,3295.96,20,80.54,72.48,193.3,70.71,483.48,20,63.55,194.26,38.4,22.5,25.54,20,45.98,62.52,20,51.61,39.79,23.79,74.01,43.64,20,33.62,20,329.2,31.83,1296.31,38.5,45.86,51.89,118.78,3149.55,152.61,36.12,198.18,4196.05,1306.39,400.53,81.93,832.1,301.44,757.08,87.62,35.47,124.35,136.83,158.91,38.35,22.06,50.09
"DEFB1",20,20,20,26.67,23.08,38.77,26.6,20,20,20,20,30.66,20,20,20,27,20,62.04,56.94,20,35.55,20,51.46,37.22,39.25,20.93,45.2,20,20.61,20,20,20,20,20,20,20,85.31,20,20,20,20,21.39,20,20,20,28.74,20,20,20,20,20,20,20,20,37.92,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28.63
"DEFB103A",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,32.44,30.36,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"DEFB4A",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,134.71,61.89,20,36.53,20,217.02,133.21,34.34,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"DOCK9",87.31,68.95,70.72,42.23,66.92,62.04,77.13,76.53,39.2,101.1,101.61,87.25,83.1,40.53,86.29,140.16,84.22,329.69,143.58,88.4,95.78,144.76,353.49,285.03,88.31,72.16,47.94,72.89,49.81,35.18,78.62,63.49,38.32,20,55.73,20,20,70.38,64.84,50.43,63.65,36.8,34.91,58.83,68.32,64.45,34.86,54.01,61.84,69.79,59.58,57.27,60.35,42.88,66.82,54.3,20,27.82,53.73,40.97,27.61,29.58,52.91,45.22,59.34,39.35,50.06,45.12,41.73,57.56,50.09
"DPP4",158.99,179.06,152.66,188.94,223.83,112.44,164.89,129.05,153.06,191.79,168.56,137.95,97.43,173.72,206.34,221.16,185.6,342.1,259.93,256.99,245.86,303.07,517.93,347.72,289.46,306.67,124.64,152.35,94.46,110.13,122.5,180.83,90.56,91.09,87.78,95.74,92.73,164.22,144.42,111.33,148.01,122.37,129.88,226.93,216.24,208.14,154.58,145.95,133.01,197.4,199.87,152.71,95.44,89.55,247.41,185.52,76.79,55.64,64.72,87.79,105.49,93.28,100.4,127.19,96.75,162.13,91.78,88.28,90.24,101.69,190.15
"DUSP4",28.67,36.7,20,20,20,20,20,20,20,20,20,20,20,20,20,42.43,42.11,159.53,79.22,20,108.61,197.88,342.3,314.42,249.23,443.77,127.37,26.24,31.77,20,36.57,41.79,20,20,20,20,20,20,33.89,22.84,37,32.52,51.95,60.52,61.98,161.11,20,26.43,50.17,20,38.44,20,20,20,20,28.05,20,33.17,26.87,20,26.62,20,20,39.57,32.25,20,20,20,22.56,23.02,32.71
"EBI3",27.37,20,20,20,20,20,20,34.51,20,20,20,20,20,28.95,20,20,20,20,20,20,20,20,20,21.55,20,20,20,20,20,20,20,20,23.22,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,28.89,24.42,39.5,26.62,30.71,20,35.33,20,34.63,33.37,20,27.07,20.15,30.67
"EDNRB",20,20,20,23.34,24.23,20,20,20,20,20,20,20,20,20,20,20,20,40.77,20,20,21.72,20,62.64,21.55,36.3,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"EGR1",69.07,54.5,59.49,85.58,71.53,58.16,38.56,30.01,65.33,52.04,150.62,135.6,130.39,179.51,126.3,78.44,84.22,86.85,96.55,82.24,92.82,46.87,79.42,56.81,66.72,33.91,45.2,70.71,68.7,105.54,45.71,34.56,47.6,85.57,224.32,117.23,85.31,20,20,79.93,71.05,62.47,61.69,60.52,45.08,67.93,30.31,24.13,36.17,20,20,20,30.18,45.4,20,20,112.24,43.87,69.6,57.06,64.08,73.94,37.99,59.36,30.31,97.59,73.42,68.66,106.03,198.58,78.72
"EGR2",35.19,28.92,37.04,47.79,31.15,20,26.6,20,20,35.68,104,73.1,67.34,86.86,67.53,65.58,37.43,116.99,84.17,49.34,48.38,20.83,185.69,150.84,39.25,20,34.24,20,47.23,53.54,27.43,20,26.7,20,83.6,48.85,20,20,20,21.89,29.6,47.92,43.02,38.66,25.36,20,20,20,20,20,20,20,20,20,20,20,57.1,27.82,31.75,40.97,36.48,39.81,36.63,20,20,40.93,55.07,64.74,75.57,54.68,39.87
"EIF2A",331.01,254.69,347.97,241.17,357.67,265.6,295.21,345.12,285.58,288.43,358.63,314.82,388.3,285.19,315.13,311.17,258.91,347.41,240.13,302.22,288.32,314.52,356.85,318.33,215.86,304.5,246.53,284.28,200.09,278.39,257.8,208.15,214.8,223.58,189.48,214.92,211.42,220.52,197.47,235.99,264.95,237.89,154.24,305.94,285.26,202.05,245.51,212.6,155.18,279.16,201.8,231.19,139.65,124.86,258.25,190.94,224.47,221.48,162.41,197.52,134.08,211.58,259.14,226.12,234.78,171.57,253.64,219.72,214.31,237.91,253.54
"EIF2AK2",92.53,117.89,99.9,117.81,104.99,930.56,889.62,1120.89,957.54,1021.39,1340.08,1585.87,1073.19,1709.7,1461.86,1045.38,731.5,721.42,764.95,801.8,393.97,215.58,571.62,492.68,256.09,235.95,542.37,51.75,48.09,44.36,44.79,55.45,37.15,786.66,583.78,656.49,541.54,891.46,607.13,259.77,772.63,260.99,124.2,201.72,294.42,377.97,150.03,167.78,266.03,145.56,155.67,201.5,178.95,99.64,124.61,171.04,78.76,85.59,72.05,171.19,79.86,527.81,103.11,121.54,245.1,236.11,131.82,62.78,72.19,176.51,104.28
"ELK1",36.49,31.14,39.29,46.68,26.54,52.34,51.86,51.02,20,37.17,43.04,31.84,20,36.19,41.27,37.29,53.03,39,20,49.34,40.48,38.53,64.88,47.99,66.72,44.74,45.2,31.34,42.08,38.24,42.97,31.34,44.12,20,52.94,20,20,51.61,44.21,40.92,47.36,41.07,54.39,60.52,41.56,36.58,31.83,26.43,29.17,20,40.36,20,23.86,39.1,20,29.86,61.04,28.89,53.73,35.11,26.62,25.03,40.7,36.74,34.83,33.06,38.38,39.24,38.35,32.62,36.8
"ENTPD1",20,33.37,38.16,55.57,40.38,46.53,43.88,73.53,44.8,43.12,47.82,41.27,47.28,44.88,51.27,38.58,40.55,49.63,69.32,20,86.89,115.6,100.68,74.44,155.03,137.1,87.66,29.89,35.21,20,20,20,48.77,20,71.06,48.85,20,56.3,41.26,31.4,81.41,49.63,58.45,47.07,55.64,74.03,20,31.03,44.34,20,40.36,20,22.46,20,20,20,20,27.82,20,20,23.66,37.54,29.85,48.05,20,20,35.04,41.2,28.2,20,22.49
"EOMES",83.4,149.03,112.25,115.58,93.46,56.22,115.69,66.02,39.2,59.47,66.94,124.98,57.31,59.35,57.52,117.01,121.66,77.99,69.32,51.4,42.46,182.26,99.56,85.22,132.46,185.44,168.46,100.59,79,59.66,135.3,85.99,37.15,20,71.06,48.85,20,93.84,81.05,75.17,100.65,71.02,81.99,196.67,91.57,78.38,77.29,68.95,129.51,211.36,103.78,89.08,54.74,52.97,95.71,68.78,20,100.57,56.17,58.52,74.93,53.46,74.62,86.21,172.21,69.26,56.73,62.78,107.16,116.08,92.01
"ETS1",1412.65,1782.81,1591.68,1106.94,1296.85,715.37,1147.6,874.81,550.63,792.44,1397.46,1367.74,977.19,718.04,896.63,1184.26,1126.1,870.31,453.03,727.79,587.51,1250.81,981.05,817.87,809.49,1411.4,732.75,1320.81,868.19,601.14,1603.47,1146.05,502.75,333.98,561.49,355.6,315.28,856.27,884.17,1074.3,854.04,634.08,680.26,1724.69,1110.05,792.51,1074.47,890.64,1012.76,1784.61,976.31,895.06,631.59,554.94,1274.98,1030.74,429.25,874.13,475.02,822.28,753.23,615.4,759.79,1040.16,1315.8,883.05,729.21,455.14,957.64,1151.18,1011.08
"EWSR1",559.07,606.13,535.42,565.7,609.2,622.31,628.99,612.21,634.63,721.07,766.27,787.63,578.86,742.65,801.59,655.78,775.17,558.35,643.65,805.91,471.98,620.72,496.68,461.34,791.83,822.59,669.74,639.27,531.56,520.07,608.84,529.62,435.4,460.95,571.24,601.78,408.01,753.05,610.08,579.5,642.38,601.56,608.01,806.87,733.23,646.2,565.27,491.86,565.89,675.96,568.87,483.59,429.48,414.94,534.55,483.24,348.52,437.6,284.53,389.19,374.64,387.9,407.03,459.31,596.62,390.37,373.78,439.44,483.89,492.13,432.44
"F13A1",1369.65,623.93,710.53,1352.56,1630.3,998.41,654.25,619.72,929.54,1793.01,1139.25,554.17,484.3,777.4,1768.24,640.35,338.45,363.37,314.4,573.59,227.1,242.66,224.85,287.97,106.95,243.89,242.42,532.12,688.71,882.59,399.5,544.09,1211.01,601.72,248,554.89,185.46,175.95,219.57,762.19,346.35,1073.92,234.6,379.9,333.86,195.95,1453.34,904.43,575.22,733.78,924.42,2606.72,750.9,1616.89,1285.82,1669.64,1094.79,437.6,333.37,329.2,402.25,833.81,634.97,855.02,357.33,886.2,1551.86,639.55,750.09,405.79,1029.48
"FADD",89.92,92.31,76.33,85.58,68.07,56.22,107.71,85.53,78.4,69.88,101.61,116.73,93.13,85.41,87.54,117.01,135.69,102.81,89.12,154.19,162.92,112.48,138.71,116.56,212.92,98.86,135.59,86.01,67.84,52.01,88.68,82.78,61.54,107.65,112.85,101.6,107.57,107.91,142.94,98.01,121.37,73.59,124.2,124.39,122.56,142.83,72.74,79.3,79.34,149.55,94.17,108.17,64.56,59.28,74.04,70.59,51.2,44.94,57.39,40.97,36.48,58.01,59.7,84.8,98.04,61.39,58.4,52.97,58.65,50.84,49.07
"FAS",456.11,430.41,344.6,331.19,290.75,1217.48,1003.98,952.83,1114.33,842.98,1766.85,1733.26,693.49,2126.62,1395.58,1773.17,3350.22,2049.04,2413.67,2907.03,955.81,898.79,1331.18,1202.81,732.96,549.12,914.91,405.28,312.58,183.55,270.6,274.86,204.35,2531.1,1928.28,2467.69,1847.19,2784.63,1712.35,386.33,1255.16,618.68,475.7,416.88,453.6,556.5,283.39,327.52,463.21,350.94,261.37,229.07,371.24,160.18,207.68,304.97,169.34,211.85,207.59,179.96,172.53,524.4,210.3,211.99,400.54,292.78,240.29,147.13,181.6,365.5,284.21
"FASLG",161.59,177.95,169.49,122.25,96.92,145.4,172.87,183.06,70.93,96.64,236.7,239.36,234.98,118.71,92.54,275.17,319.74,244.61,111.4,82.24,96.77,145.81,171.15,107.74,145.22,129.88,90.39,107.88,63.55,39.77,142.61,96.44,45.28,96.61,165.8,70.34,89.02,145.45,241.67,185.55,213.14,72.74,118.52,250.47,189.47,106.25,153.06,77,121.34,163.51,105.7,91.2,48.42,68.11,93.91,123.07,39.38,100.57,37.86,79.01,80.84,91,81.41,107.41,204.46,99.17,58.4,54.93,72.19,165,96.1
"FCAR",110.77,220.21,106.64,218.94,88.84,283.05,207.45,448.66,158.66,111.51,279.73,389.1,113.19,275.06,236.35,708.5,665.99,1382.57,1131.33,649.66,1295.48,176.01,582.81,363.39,1251.04,277.08,1907.88,183.69,151.14,325.81,120.67,204.13,447.02,850.14,590.74,459.15,1146.15,1459.17,926.91,83.74,1081.98,85.57,172.91,55.47,57.05,1722.62,78.8,83.89,527.38,83.75,99.94,95.45,45.62,454.04,187.82,89.59,177.21,68.48,124.56,70.23,70,119.44,66.48,93.28,89.65,73.98,116.81,76.51,69.93,154.45,53.16
"FCER1A",142.05,182.4,134.7,344.53,161.53,73.67,132.98,123.04,223.99,127.86,82.48,127.34,126.09,133.19,88.79,392.18,706.54,230.43,425.8,228.2,525.3,961.28,853.52,931.49,146.2,80.09,199.96,145.79,54.1,64.24,66.73,70.72,83.6,82.81,292.59,177.8,20,208.79,256.41,1158.99,1284.76,1317.79,344.19,1069.1,1243.88,214.24,1163.89,2355.88,836.58,677.95,1222.31,829.31,2533.39,393.5,283.53,718.53,311.11,608.79,477.47,102.42,253.38,326.47,96.33,209.16,108.36,116.48,70.08,51.01,80.09,120.87,58.27
"FCER1G",1734.54,1611.54,1057.38,2372.81,1311.85,1733.17,1632.97,1898.16,2704.64,1989.27,3130.84,2156.55,1235.1,3484.54,2320.97,4809.03,6794.03,9910.19,13427.43,5964.14,5781.26,3005.69,4732.96,3755.36,3666.76,933,3254.22,1425.78,1578.38,1456.2,1198.49,1502.88,2417.37,8713.93,5855.89,11091.9,13965.17,5738.17,7481.59,1477.76,4680.21,2714.31,3189.43,1306.12,1875.68,3230.13,895.65,1214.71,1397.8,602.18,1020.51,967.18,783.88,1463.02,606.79,842.51,1287.76,747.88,581.26,294.09,404.22,1655.1,1089.49,1064.18,1354.5,835.83,1318.25,1653.8,904.62,976.59,767.77
"FCGR1A",212.42,288.05,133.58,539.02,190.37,1010.05,833.77,1237.93,1513.78,877.18,1398.66,1347.7,445.61,2322.06,1364.32,1834.89,3061.68,2754.5,3463.31,2742.56,1062.45,531.15,1069.42,794.37,619.14,165.24,865.6,129.75,173.47,113.19,62.16,151.09,318.14,3392.28,1958.93,2979.59,3664.7,2592.26,2049.81,200.78,1372.09,315.76,431.05,70.6,303.57,740.26,110.63,122.97,211.19,83.75,138.37,161.2,157.2,99.64,88.49,143.89,137.83,88.8,105.02,59.99,82.82,626.78,128.89,144.15,245.1,247.13,208.58,113.78,136.48,246.55,178.91
"FCGR2A",965.66,896.41,395.11,1391.46,756.88,1886.32,1260.63,1718.1,2168.94,1457.01,2394.45,1563.47,706.39,3297.79,2329.73,3654.35,3389.21,4082.13,5787.85,4128.23,1740.8,1133.12,1199.18,1129.35,1168.61,262.65,2400.94,416.95,892.24,812.23,309.91,831,1500.12,6166.27,2583.11,7469.5,5890.22,3070.83,3641.32,683.22,1885.7,1709.71,1550.48,181.55,981.86,1271.5,571.34,543.58,948.59,336.98,524.67,693.57,489.84,686.11,460.51,549.31,389.87,150.86,343.14,102.42,211.97,1140.94,371.76,534.21,487.62,563.51,685.82,543.42,384.63,475.82,582.72
"FCGR2B",130.32,70.07,76.33,148.93,154.61,189.99,163.56,148.55,296.78,227.47,185.29,215.77,107.46,332.96,220.09,153.01,272.95,148.89,413.42,450.24,113.55,86.44,192.41,154.76,130.5,20,76.7,127.56,102.19,81.07,81.36,141.45,106.82,154.57,443.06,242.28,359.79,239.29,333.04,73.27,161.34,91.56,155.05,72.28,173.97,99.28,68.2,43.67,81.67,51.84,67.27,55.15,59.65,73.15,54.18,85.97,112.24,51.36,80.6,20,40.42,111.48,71.91,80.56,101.26,99.17,86.77,76.51,73.32,79.62,68.5
"FCGR3",380.53,129.01,243.58,294.52,268.83,312.13,239.36,417.15,373.31,368.71,610.87,306.56,491.46,673.17,528.97,322.74,213.68,257.02,274.79,347.45,153.05,320.77,248.34,205.69,370.9,285.02,171.2,157.45,190.64,169.79,173.69,155.11,59.22,248.42,842.93,517.77,422.85,222.86,475.98,612.8,148.01,992.62,791.47,341.24,811.41,220.33,204.59,460.83,322.03,217.34,253.69,110.29,135.44,117.29,113.77,170.13,98.45,192.59,37.86,43.89,56.2,444.77,314.77,258.63,332.82,160.55,206.91,274.65,137.61,178.43,127.79
"FCGRT",140.74,245.79,80.82,208.94,173.07,116.32,144.95,129.05,97.06,178.41,104,120.27,48.72,118.71,153.81,114.44,194.96,134.71,210.42,244.65,153.05,169.76,175.63,149.86,238.43,28.86,139.7,190.25,249.9,339.58,172.78,364.87,476.04,223.58,147.69,236.41,159.5,293.24,194.52,92.3,76.97,244.73,125.82,104.22,129.6,78.38,122.75,139.05,108.51,107.67,140.3,86.96,108.07,94.59,102.94,116.74,84.67,67.41,67.16,46.82,77.89,69.39,67.84,69.25,72.24,107.04,86.77,123.59,74.45,67.15,120.63
"FEZ1",27.37,20,20,20,24.23,40.71,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,43.71,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,39.24,20,23.02,24.54
"FKBP5",419.62,390.37,314.3,342.31,333.44,337.33,469.41,306.11,421.84,483.19,637.17,734.57,280.83,680.4,675.28,1076.24,1492.63,1194.68,1747.74,1315.77,1053.56,837.34,1152.2,984.39,1722.01,949.59,1955.82,402.37,307.43,327.34,408.64,311.02,311.17,1622.99,1079.78,1858.09,1190.66,1555.36,1410.26,434.86,1154.51,574.18,625.06,492.53,604.33,1618.98,297.03,351.66,432.87,454.63,353.62,273.61,277.9,437.64,534.55,410.85,220.53,303.86,167.3,269.21,306.61,241.16,287.64,243.08,586.95,236.11,302.03,188.33,186.11,407.71,259.67
"FLT1",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,25.73,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"FLT3LG",226.75,442.65,269.4,265.62,348.44,314.06,413.56,288.1,253.85,404.39,343.09,477.53,309.49,270.71,392.66,321.46,700.3,331.46,292.12,491.36,201.43,388.47,246.1,201.77,405.24,184.72,202.7,581.68,582.23,416.06,709.4,646.16,320.46,270.5,388.72,334.11,311.57,509.07,565.87,346.37,259.02,322.6,452.15,627.01,526.15,182.02,387.96,330.97,397.87,660.01,395.9,366.93,235.09,281.25,458.71,388.22,133.9,184.03,152.64,251.66,217.88,153.57,196.73,299.61,328.95,278.61,178.55,174.6,230.1,259.98,299.54
"FN1",346.65,437.08,539.91,504.57,444.21,238.46,256.65,333.12,334.11,356.82,252.24,298.31,263.64,347.44,386.41,237.88,182.48,382.87,331.72,213.81,208.34,287.45,417.25,325.19,167.79,75.77,231.47,326.56,177.76,133.08,260.54,240.3,426.12,212.53,248,242.28,111.28,126.68,256.41,391.09,546.17,276.39,99.85,228.61,356.4,392.77,101.54,90.79,122.51,91.72,144.14,146.35,46.32,176.57,110.16,271.49,639.94,231.11,83.04,136.07,284.92,417.47,177.74,301.02,492.78,300.65,487.25,164.79,175.96,462.39,237.18
"FOS",3353.09,2690.35,1514.23,2946.29,2214.11,891.79,1057.17,439.65,1259.92,834.06,1719.03,2387.65,1225.07,2461.03,1818.26,1561.01,2136.78,1402.07,2973.15,1837.97,809.67,888.38,1038.1,878.6,396.41,96.69,564.28,1420.68,1279.53,3276.45,892.24,1910.35,1742.78,2175.03,3456.69,1967.51,2362.77,1853.29,1755.09,1187.54,2039.64,1621.57,1235.51,522.79,830.43,832.57,551.63,303.39,968.43,436.68,334.4,453.9,367.03,1204.47,532.75,587.31,1567.37,885.9,1355.47,702.3,742.38,1052.21,412.46,1002,617.91,1246.66,1595.25,1102.53,1311.82,3511.11,997.79
"FOXJ1",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,29.08,22.53,24.53,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"FOXP3",20,22.24,28.06,28.9,20,20,20,20,20,20,20,20,20,20,26.26,20,20,20,20,20,20,51.03,55.93,57.79,64.76,62.06,20,21.14,20,20,20,20,20,20,20,20,20,20,20,26.64,20,20,23.54,58.83,23.24,34.84,30.31,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
"FPR2",41.7,100.1,33.67,55.57,31.15,110.5,98.4,136.55,110.13,60.96,117.15,100.22,42.98,147.66,97.54,646.78,307.26,717.87,618.89,427.63,1088.12,224.96,465.35,430,709.41,356.46,957.36,26.97,20,32.12,20,28.93,73.15,380.91,248,504.09,556.38,349.54,436.19,64.71,666.06,83.86,114.46,35.3,102.13,978.01,65.17,50.57,136.51,20,71.11,78.48,56.14,113.51,20,47.06,90.58,52.43,47.62,29.26,29.58,54.6,20,20,48.37,20,50.06,43.16,22.56,44.13,27.6
"FUT5",20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20,20
