"gene","Baseline.lfc","Baseline.padj","Middle.lfc","Middle.padj","Transitional/Late.lfc","Transitional/Late.padj"
"CCL5",0.763425638620683,0.176350848822307,0.165821971957969,0.821157154011136,0.287694818866569,0.314748184170091
"CCL7",NA,NA,NA,NA,-0.0533730939544652,0.856804355297976
"CCL8",NA,NA,-0.747685447938021,0.444223576274288,0.102404051486913,0.685775111569689
"CCND3",-0.298442073307246,0.306248990987523,-0.00789553991804581,0.975984469482266,0.59321864004599,0.00968704747837546
"CCR1",-0.302483908223274,0.537795701902816,0.205304265121253,0.69867136485216,-0.592101724131712,0.0759124824088015
"CCR2",-0.857416050232721,0.0511151568283108,-0.390395519498448,0.404080353558812,0.742078017694014,0.00757698927891651
"CCR3",-0.693890921459762,0.223224838046278,0.161830408708536,0.892278061101142,0.275208574638054,0.511434537113178
"CCR4",-0.712855141754815,0.081688447738569,-0.162563809644021,0.855206577245221,1.4165295766402,0.00046397268695118
"CCR5",-0.324324973255365,0.488943054643318,-0.230431455540316,0.664634774231786,0.313931302852811,0.389360034105571
"CCR6",-0.954457971333387,0.0374910446181098,-0.48364653915806,0.527474309245853,0.441450277640464,0.0711550047001994
"CCR7",0.450729031705938,0.303411243986253,0.444209488541343,0.571894401575106,0.537205402535283,0.0683457779611313
"CCR8",-0.323690961745299,0.48498003957719,-1.33212299955036,0.333491867204706,-0.743835947923035,0.233526161330836
"CCRL1",NA,NA,NA,NA,-0.867340188357129,0.058808350979303
"CCRL2",-0.364595282585691,0.597837174223752,0.454206893879205,0.337366342129182,-0.359203777898019,0.448602701455017
"CD14",0.882532882683162,0.13824110271582,0.446737670619367,0.63272548653775,-0.917374143962065,0.0459778434274764
"CD160",NA,NA,-0.687203551001973,0.45550647978161,-0.31102912492701,0.351158651447563
"CD163",-0.733205394120611,0.13824110271582,NA,NA,NA,NA
"CD164",0.0330191970885885,0.894111328347086,-0.0648143469223772,0.897693726718731,-0.232525254361899,0.238036891072724
"CD19",0.272556031701097,0.572010921132878,0.377137365498778,0.599990563242403,0.788065581376753,0.0788868835859627
"CD1A",-0.385762181023773,0.335798012044761,-0.506874538988084,0.466959086585395,0.549612934296864,0.00206215667897202
"CD1C",-0.628946924586717,0.157336680879295,-1.04257116223424,0.284558706627723,1.34638680019193,0.000207490256883503
"CD1D",-0.509996399638831,0.205064563612574,-0.119131199728229,0.908945003886069,0.923672933452016,0.000593000613797252
"CD1E",NA,NA,NA,NA,-0.176952507131173,0.467984780276985
"CD2",0.0332146500068333,0.939210422405198,-0.078914370998608,0.925772792238347,0.639805706120258,0.0802720268907489
"CD207",NA,NA,0.0189653608719231,0.975984469482266,0.367350126411126,0.0858851972172955
"CD209",NA,NA,-0.227537160668954,0.816661233933368,-0.00706566564396116,0.975597461251937
"CD22",-0.473509283622987,0.13824110271582,0.0297821641712668,0.974224034181668,0.817286310865641,0.00352238783811699
"CD24",-0.159567776184049,0.860127567032859,0.879424951024201,0.471569425035421,-2.67099341492543,7.48433836442185e-05
"CD244",0.132688843730474,0.838987735358543,-0.446482873208593,0.501767388793414,0.218320740196633,0.500550012595266
"CD247",-0.069794905814117,0.838987735358543,-0.0360842375333288,0.967478219547074,1.02366300669676,0.00281561793380691
"CD27",0.534887578939388,0.221988364389221,-0.159072832464288,0.816661233933368,0.379836601782079,0.308988228271578
"CD274",-0.773169421298549,0.122503139164023,0.107830870968282,0.87790501263783,-0.654959349439281,0.0984043506418442
"CD276",NA,NA,NA,NA,0.378425479182744,0.0592980688367478
"CD28",-0.200838526257767,0.569145285512269,-0.248167853567155,0.63272548653775,0.710301182291532,0.00733540110145279
"CD34",NA,NA,NA,NA,0.076276708593122,0.703798196667965
"CD36",0.860606356553339,0.236374177184412,-0.79921649604815,0.471569425035421,-1.1596517005111,0.0527684671141187
