"gene","avexpr","lfc","padj","pvalue","Comparison","Significant","Regulation"
"CD22",6.05578853922383,-0.473579723685699,0.138293012324877,0.0272518430034077,"Baseline",FALSE,"Neither"
"NCF4",9.38445368649643,0.963314909396919,0.141603848460126,0.0290772510193581,"Baseline",FALSE,"Neither"
"IL6ST",8.29610025124676,-0.428970117961908,0.145764712510318,0.030174998916994,"Baseline",FALSE,"Neither"
"CYSLTR2",5.70618253603028,-0.425788070088665,0.138293012324877,0.0272692224401749,"Baseline",FALSE,"Neither"
"TYK2",8.86192795481968,0.451801951086741,0.148577246163426,0.0310052683980438,"Baseline",FALSE,"Neither"
"MAFG",7.59922013710993,0.442190389106587,0.149503398762191,0.0325771462898937,"Baseline",FALSE,"Neither"
"CD6",9.77290053063719,0.783110241965966,0.149503398762191,0.0326332556562982,"Baseline",FALSE,"Neither"
"CD97",9.6628551176517,0.715778435178635,0.149503398762191,0.0326960688444859,"Baseline",FALSE,"Neither"
"FCGR3",8.39040361743107,-0.764179014546539,0.155007695107811,0.034417401417928,"Baseline",FALSE,"Neither"
"ATG16L1",6.09893456049165,0.483414203310176,0.149503398762191,0.0326149412009668,"Baseline",FALSE,"Neither"
"IFIT1",8.79373667590395,-1.1729415774248,0.155007695107811,0.0343652461595346,"Baseline",FALSE,"Neither"
"ALAS1",7.14870941628954,-0.477749946874951,0.157189547499356,0.0354637437976283,"Baseline",FALSE,"Neither"
"TAGAP",10.1158426099694,-0.384513905363207,0.155347881209963,0.034752280604566,"Baseline",FALSE,"Neither"
"CD1C",8.2742626131293,-0.629022286937605,0.157189547499356,0.0356891126208888,"Baseline",FALSE,"Neither"
"CXCL6",5.70810386696493,0.870243097659489,0.149503398762191,0.0318456480174448,"Baseline",FALSE,"Neither"
"IFI35",6.95235207926302,0.747721250911598,0.163784699944872,0.0374599397202797,"Baseline",FALSE,"Neither"
"TNFRSF17",5.51225059960069,-0.460610438512793,0.149503398762191,0.0315337883654751,"Baseline",FALSE,"Neither"
"CD79B",7.29482957120509,0.474820162873709,0.168444067625284,0.0388068135764428,"Baseline",FALSE,"Neither"
"CTSC",7.62219613967455,-0.557783821107595,0.168897155476586,0.0395665786847905,"Baseline",FALSE,"Neither"
"TNFSF13B",8.40870352691435,-0.418046614042575,0.168897155476586,0.0401051151571052,"Baseline",FALSE,"Neither"
"FCGRT",8.63236834853497,0.797202818199784,0.168897155476586,0.0403210237615222,"Baseline",FALSE,"Neither"
"MAP2K1",7.23361724286522,-0.422645852609568,0.176364992211924,0.0437167901657086,"Baseline",FALSE,"Neither"
"MEF2C",6.28710724813274,-0.551126473325696,0.171225795316389,0.0411627955351587,"Baseline",FALSE,"Neither"
"IRF5",7.38163621481864,0.365369322910457,0.176364992211924,0.043886274413687,"Baseline",FALSE,"Neither"
"CCL5",9.28709714726135,0.763351879388111,0.176364992211924,0.0429768504190653,"Baseline",FALSE,"Neither"
"IFI44",7.42828640556092,-0.681248826308022,0.176364992211924,0.0450481532694898,"Baseline",FALSE,"Neither"
"IRF3",9.61608417831036,0.394362262340467,0.176364992211924,0.0439073660534519,"Baseline",FALSE,"Neither"
"CXCR4",10.5921227368422,-0.453644097693724,0.176364992211924,0.0449407969918044,"Baseline",FALSE,"Neither"
"IL8",11.7096548137361,1.08084624291617,0.185217618347114,0.0482369757297993,"Baseline",FALSE,"Neither"
"CAMP",9.13793664498478,1.0747414961668,0.176364992211924,0.0448556978506377,"Baseline",FALSE,"Neither"
"TUBB",9.4342002242236,-0.48817885827539,0.176364992211924,0.04487192756627,"Baseline",FALSE,"Neither"
"PTGER2",5.62538398711245,0.395167508169991,0.168897155476586,0.0403003817013886,"Baseline",FALSE,"Neither"
"AGER",6.37259695810986,0.524668557642662,0.1806745827688,0.0464505605115113,"Baseline",FALSE,"Neither"
"TLR3",5.4498551644101,-0.296264928600432,0.168897155476586,0.0397274641967216,"Baseline",FALSE,"Neither"
"IL2RB",9.24677843839977,0.449849926604323,0.185217618347114,0.0479782618139191,"Baseline",FALSE,"Neither"
"HDAC3",8.49488185424668,0.328957618239949,0.186284042595606,0.0488257006469286,"Baseline",FALSE,"Neither"
"RAPGEF2",5.72307310458887,0.486914436946884,0.176364992211924,0.0430736970273102,"Baseline",FALSE,"Neither"
"MX1",6.75458330408815,-0.539601670323158,0.193528405650826,0.0510475594204181,"Baseline",FALSE,"Neither"
"MBP",6.64904130414784,0.717152993971887,0.194833180812926,0.0517169878952508,"Baseline",FALSE,"Neither"
"FCER1A",7.69943630012112,-0.790176055485407,0.195718759454233,0.0524906866381009,"Baseline",FALSE,"Neither"
