"gene","Early.lfc","Early.padj","Late.lfc","Late.padj","Middle.lfc","Middle.padj"
"CCL5",-0.620940947556672,0.186074843213065,0.488125775702853,0.210786184451486,-0.091231584158054,0.846100167343456
"CCL7",-0.0390443139792982,0.929879403342225,0.282403383350442,0.394011065270388,-0.164048932591208,0.661254495437808
"CCL8",1.06745661523136,0.00855224962805549,0.0596915820324044,0.885694743262073,0.497109232109429,0.228545575949824
"CCND3",0.22004322516513,0.327313266646996,0.0836209400964592,0.676610888253605,-0.147913473234397,0.474418807761344
"CCR1",1.46281943862741,0.000158973522784989,0.931667318732203,0.00846685211148223,1.91290277684775,6.51370486314771e-06
"CCR2",0.365419171723761,0.196806632977245,-0.302001255557044,0.206535578590657,0.00821776895168203,0.982549037235921
"CCR3",-0.600478507259592,0.217544415188051,0.00814280389311772,0.989688299214262,-0.700619837969057,0.105532651468618
"CCR4",-0.0947058530864968,0.805534302030722,-2.43270308101022,1.87543891969934e-10,-1.01641322930377,0.000799358290974784
"CCR5",-0.296740707422313,0.540636296143833,0.59160588116257,0.0993126920603258,-0.320453530368186,0.435678508726348
"CCR6",-0.440382201891124,0.193267535498414,-1.40110678179201,2.12698407711114e-06,-1.06807339493673,0.000571908071735478
"CCR7",-0.690504159639608,0.0750051128528666,-1.08353844850535,0.00196438534401779,-0.5453306104041,0.136499290806552
"CCR8",0.322677926168709,0.705180191402172,1.73839204411767,0.00365958908128791,0.699690596380421,0.299106188379822
"CCRL1",-0.153581549960544,0.806139024879251,1.030773506236,0.044538300431692,0.313770765029353,0.610094135854618
"CCRL2",1.71320884175557,0.000125426284180276,0.0773950496451619,0.88081337723104,2.11865718351585,1.57131018325445e-05
"CD14",-1.17553796069779,0.0182588590398144,0.211859213918483,0.661962914824917,0.755078892168498,0.106301116439759
"CD160",-0.0900184014329932,0.844122886735414,0.57456328398583,0.114908917290269,0.121074358345362,0.786713195232119
"CD163",0.080924425371462,0.874528872175769,-1.75446561943062,1.20797069071681e-06,-1.909599912421,8.73211715585047e-07
"CD164",0.757082862801248,6.12797225379538e-05,0.389597561113639,0.0218443093752737,1.00664660481172,2.80108662600898e-06
"CD19",-0.542777604329461,0.22848137672797,-1.64630233353012,5.07702242272336e-05,-1.48961455183299,0.000454804517016175
"CD1A",-0.219240835813237,0.618886151266984,-1.84364923191783,6.30745442763815e-08,-1.54257546878657,9.42567584503585e-06
"CD1B",-0.153581549960544,0.65299054124864,-0.0244454220158605,0.937502911688181,-0.138717533671671,0.653410313444827
"CD1C",-0.571674816494082,0.126235449660296,-3.05104482995037,3.72739179275566e-11,-2.31854372644963,1.48655318344286e-07
"CD1D",0.307449376311467,0.352793147398911,-1.35113878164154,5.62771579422948e-06,-1.09507937123131,0.000424664390565089
"CD1E",-0.153581549960544,0.692428650045704,0.329542218799729,0.272927473458879,0.0217731389300484,0.963143747247706
"CD2",-0.0976501320498082,0.855984490839573,-0.0102113239146542,0.987208264057558,-0.653048595525174,0.108519653291923
"CD207",-0.159980135889232,0.548574301495751,-0.18428661470042,0.381090539245126,-0.266858158013744,0.248271525267698
"CD209",-0.153581549960544,0.6138819517297,0.156898385997697,0.518126157795552,-0.10463982600848,0.710276801970536
"CD22",-0.364244979298978,0.409810557695601,-0.985607025417413,0.00338097606197005,-1.04583778680523,0.00441355603748068
"CD24",-0.1412736609299,0.844122886735414,2.28982033146947,1.95594216067287e-05,0.821245218521085,0.125968457785314
"CD244",-0.131842159248976,0.824048002203716,-0.0950809781754316,0.855265329275083,0.28109258368052,0.572764619776839
"CD247",-0.351825371844095,0.434353831200456,-0.602767178988423,0.0850920162259405,-0.80102692315748,0.0353236368573688
"CD27",-1.00395214435438,0.00509527091879554,-0.175588957881297,0.619474068340718,-0.900763225738253,0.0112604650208352
"CD274",2.69594575349172,4.92555546314497e-10,0.884798879020959,0.00665908736063542,2.73955702684762,3.73051507751743e-09
"CD276",-0.0753892493084116,0.877230506390477,-0.443591740621652,0.196012268082498,-0.957414406341613,0.00797568628950229
"CD28",-0.477823526714303,0.0918535934657889,-1.03324231812162,0.000112620771556276,-1.16646649075943,7.10518439187372e-05
"CD34",-0.178688897061662,0.533875644228744,0.0447304141047864,0.875194985799492,-0.339873518673446,0.166071187878463
"CD36",-0.567549652147116,0.496830600946174,0.210944840793358,0.77463354889605,-0.241702361083351,0.755613965512823
"CD38",1.15428210339319,1.8132116441536e-05,1.29564849870604,2.12698407711114e-06,1.05876893777591,0.000137448840575745
"CD3D",-0.207873723392398,0.675371058391926,0.678788386346193,0.0538831253371715,-0.469481766282481,0.222893828951892
"CD3E",-0.672864777882678,0.0725464890063535,-0.318293777646149,0.359532998008274,-0.757842173030316,0.035752421542391
"CD3EAP",-0.282326642790297,0.314094025974212,-0.643838390668896,0.0038097009816097,-0.949708509326159,0.00015503766440593
"CD3G",-0.441931717255368,0.352753107076375,0.175944066168544,0.676359948028984,-0.555479542335556,0.177854046344471
"CD4",-0.264841442553929,0.172406698580988,-0.341014270007001,0.0351169264776295,-0.571769638638552,0.00172695678238819
"CD40",-0.197562159239416,0.66640991416763,-0.790611549372565,0.0101548355627636,-1.10047993380627,0.00116181304757692
"CD40LG",-0.283720042476106,0.484509512178594,-1.90785581040258,3.6252065528602e-07,-0.897517324367816,0.00828479071507997
"CD44",-0.269066547711311,0.388446829729715,-0.320825504013987,0.199349616227536,-0.412890618121283,0.126673453767803
"CD46",-0.0119701504691143,0.961651549459771,-0.882869624318669,0.000115171792125706,-0.795812803520318,0.000933371695255419
"CD47",-0.0636118383181774,0.822045009687964,-0.553425449373767,0.00657142493469915,-0.177576173643363,0.448184426551041
"CD48",0.140413481223487,0.625853707978663,0.0435989540162396,0.862752027595153,0.236256316506845,0.299106188379822
"CD5",-0.357862731991435,0.323850085681246,-0.881508103569733,0.00299346739713013,-0.819360852894925,0.00986996022947043
"CD53",0.526562984109137,0.0376074997390225,0.512728041612439,0.0219368150942315,0.812109230033158,0.00133589883501426
"CD55",0.173239212156071,0.704148127558462,-1.59916981230583,6.70609318255402e-06,-0.665540946175831,0.0578054119027209
"CD58",-0.0571972016270887,0.839855452865296,-0.132757393471874,0.534282313080376,-0.42829750094266,0.0475757716601041
"CD59",-0.222782134835576,0.352753107076375,0.233373901132657,0.227655261523918,-0.116821034282063,0.609575641497955
"CD6",-0.285760819956369,0.508912712968421,-0.387439765212845,0.239622152360911,-0.482266303692391,0.172637413627472
"CD68",0.712090305773055,0.0532793768187088,-0.0842899431651922,0.82788583060597,0.541513338508178,0.128822168521868
"CD69",0.49230630397106,0.297198379446506,0.497255396163095,0.195315221185474,0.408633000847742,0.328420556070682
"CD7",-0.598179845785822,0.219593303783475,0.608368994526018,0.128702218881046,0.364557240995854,0.423263195994449
"CD70",-0.153581549960544,0.593550545849312,0.532671055804348,0.0200676614519966,-0.227185123971052,0.352650782332995
"CD74",0.544582140258981,0.194568136051603,-0.17532540696287,0.648951754540521,-0.00629780706372074,0.992279523493065
"CD79A",-0.635970512528027,0.0417861951258231,-1.56360458973647,1.3176398752536e-06,-0.896145950389046,0.00338881651854406
"CD79B",-0.677739319428503,0.0478339899695397,-0.112352852571486,0.743993178178082,-0.293528412198401,0.387009800802718
