"gene","avexpr","lfc","padj","pvalue","Comparison","Significant","Regulation"
"MCL1",12.1428818922742,0.565674932208864,0.0172939269829638,0.00236374455276214,"Early",FALSE,"None"
"CD14",7.91098841858207,-1.17553796069778,0.0182588590398148,0.00252109769168991,"Early",TRUE,"Down"
"SOCS3",8.84207928921678,1.19799358286321,0.0194559918151662,0.00272717708767317,"Early",TRUE,"Up"
"FPR2",8.04067418038962,1.0900363564453,0.0194559918151662,0.00279493327330839,"Early",TRUE,"Up"
"CLEC7A",9.85595975263499,1.29842426700674,0.0194559918151662,0.00275631712175554,"Early",TRUE,"Up"
"TNFSF8",7.87958661780602,0.574621659964035,0.0201249991512821,0.00294717560792834,"Early",FALSE,"None"
"CTSS",12.3207397615926,0.757141494970895,0.0201249991512821,0.00292598391599178,"Early",FALSE,"None"
"BLK",5.12740605452601,-0.643322916149191,0.0194559918151662,0.00277915843524232,"Early",FALSE,"None"
"S100A9",15.4866345331848,1.21112821054881,0.0240267599021024,0.00355207329096632,"Early",TRUE,"Up"
"XCL1",6.07466078425716,-1.00242460262302,0.0261283640862782,0.00397209440084285,"Early",TRUE,"Down"
"PRDM1",8.98626844141091,0.625626554406143,0.024851546661075,0.00374332920417866,"Early",FALSE,"None"
"ZAP70",7.24623675757603,-0.92759188682973,0.0290867525574527,0.00450178839199851,"Early",FALSE,"None"
"KIT",5.09273315747,-0.506848533914522,0.0247731476336726,0.00369696903319801,"Early",FALSE,"None"
"KCNJ2",9.70195288065303,1.01297515892446,0.0290867525574527,0.0045029700611956,"Early",TRUE,"Up"
"MKNK1",7.53786659149461,0.728389248350526,0.030312278747951,0.00484154952158189,"Early",FALSE,"None"
"NOD2",8.79864452651336,0.597930137545644,0.0296854180920155,0.00466703792066645,"Early",FALSE,"None"
"FCGR2A",11.1083033623514,0.916447629872215,0.0296854180920155,0.00467845501310704,"Early",FALSE,"None"
"S1PR1",9.11780939714553,-0.519649459446482,0.030312278747951,0.00486180203070344,"Early",FALSE,"None"
"LILRA4",6.41404599280493,0.676523084081895,0.032251547523856,0.0052178235882389,"Early",FALSE,"None"
"TCF7",6.19299875969724,-0.868801141776555,0.0350596537872607,0.00581882677919668,"Early",FALSE,"None"
"LILRB4",5.77798372427376,0.630059076357496,0.0349762634191913,0.00575620513732856,"Early",FALSE,"None"
"TAPBP",10.1597173117705,0.527306907740636,0.033277246593984,0.00543017831449948,"Early",FALSE,"None"
"IRF8",7.26701948462913,0.503091397941024,0.0376402081058617,0.00640461002638093,"Early",FALSE,"None"
"NFE2L2",9.78091210981904,0.531024469493651,0.0364787056871663,0.00610522270914918,"Early",FALSE,"None"
"AHR",6.95709537479499,-0.874196210358646,0.0396680138861801,0.00686029807794467,"Early",FALSE,"None"
"CD53",10.9923613753181,0.526562984109134,0.037607499739024,0.00634659340086737,"Early",FALSE,"None"
"GZMK",10.3112092214844,-0.899599929854121,0.0387482206141474,0.00664718428945624,"Early",FALSE,"None"
"CD79A",6.9253017178197,-0.635970512528029,0.0417861951258224,0.00734318073340812,"Early",FALSE,"None"
"PSMB10",9.25999732285725,0.604482707178693,0.0408939169628183,0.00712934396143974,"Early",FALSE,"None"
"TGFBR1",8.73590673550746,-0.52894721002219,0.0418590075676523,0.00741435698897048,"Early",FALSE,"None"
"NCR1",6.01815563772343,-0.737985098761852,0.0435108143041138,0.00782830550241377,"Early",FALSE,"None"
"IL11RA",7.14798962081932,-0.705467741948214,0.0447547216016606,0.00826675955696063,"Early",FALSE,"None"
"CXCR6",6.09978461887364,-0.935739418807225,0.0429941919078243,0.00767539269763112,"Early",FALSE,"None"
"ETS1",10.3623571960824,-0.683767428736177,0.0435506225788047,0.00789620772000643,"Early",FALSE,"None"
"PTGER3",6.02207267609698,-0.827267094879976,0.0459784865110796,0.00859291100764946,"Early",FALSE,"None"
"IL2RB",8.72124686881419,-0.80197001011695,0.0447355715225616,0.00817344472727416,"Early",FALSE,"None"
"PTGS2",8.21758124942101,-0.883746244176209,0.0447547216016606,0.00830178238915043,"Early",FALSE,"None"
"CD79B",6.65933426427842,-0.677739319428503,0.0478339899695399,0.00918228771151227,"Early",FALSE,"None"
"RIPK1",7.881561606382,0.606934410530399,0.0460700057682985,0.00867426886850809,"Early",FALSE,"None"
"EOMES",6.93495491387871,-0.789353599879784,0.0478339899695399,0.00933997014746943,"Early",FALSE,"None"
"CD96",8.55685765518541,-0.86309738680953,0.0461312036000867,0.00875013066891464,"Early",FALSE,"None"
"STAT5A",8.78147948204922,0.512764629702898,0.0478339899695399,0.00925368637516586,"Early",FALSE,"None"
"ROCK2",7.86270655008397,0.372410972499812,0.0496113421215494,0.00975620535444695,"Early",FALSE,"None"
"ANP32B",9.39690191596025,-0.525081675186398,0.0478339899695399,0.00928807262052583,"Early",FALSE,"None"
"SMAD7",6.22015799074606,-0.785104138891166,0.0532793768187095,0.0108818598794815,"Early",FALSE,"None"
"TNFSF13",7.74397372773814,0.761413202685294,0.0537312354360744,0.0111496131186193,"Early",FALSE,"None"
"ABCB1",5.30492543616824,-0.660191049023844,0.0510423408580029,0.0102511814275487,"Early",FALSE,"None"
"KLRC2",7.51911589894088,-1.19712819441645,0.0537312354360744,0.0111659052719318,"Early",FALSE,"None"
"CD68",8.72391919723614,0.712090305773053,0.0532793768187095,0.0109233868791497,"Early",FALSE,"None"
"IL10RA",9.5181308182623,0.534433280101883,0.0532793768187095,0.0108325822756335,"Early",FALSE,"None"
"C1QB",7.55433557444773,1.14563630763754,0.0570290858093471,0.0120103095637537,"Early",FALSE,"None"
"IL23A",5.26586936324858,-0.720837190915092,0.0510423408580029,0.0101896818762244,"Early",FALSE,"None"
"S100A8",12.9794722790315,1.11624271854085,0.0557398644559605,0.0116610595096152,"Early",FALSE,"None"
"ATG7",7.85561549234353,0.558107330005384,0.0587712721709886,0.0124591818270436,"Early",FALSE,"None"
"OXER1",5.08634428633776,-0.443777068953374,0.0510423408580029,0.0101283656096405,"Early",FALSE,"None"
"CASP10",8.78941933209675,0.375357670473152,0.0604468359574353,0.0129830024232148,"Early",FALSE,"None"
"GZMM",5.84832772112344,-0.931086818309337,0.0620145901176933,0.0134345306825604,"Early",FALSE,"None"
"FCGRT",7.56561238907686,-0.724498835949501,0.0620145901176933,0.0134927141678663,"Early",FALSE,"None"
"TRADD",6.0772223878048,-0.514722557530272,0.0640874338502332,0.0142118577157421,"Early",FALSE,"None"
"CDKN1A",7.99309192319589,0.596500124783187,0.0640389124791454,0.0141117826662552,"Early",FALSE,"None"
"NFATC3",9.03984124237269,-0.561499938453974,0.0621522572738208,0.0136093506164433,"Early",FALSE,"None"
"CCR7",6.67784348501153,-0.690504159639604,0.075005112852869,0.0168421522584545,"Early",FALSE,"None"
"PTGDR2",4.8891051172165,-0.273427845405583,0.0588500625241752,0.0125579631327738,"Early",FALSE,"None"
"CD3E",11.0575772803323,-0.672864777882678,0.0725464890063545,0.0161888957336356,"Early",FALSE,"None"
"ARHGDIB",12.1331354059689,-0.456954820052454,0.0751633248614953,0.0169825085461119,"Early",FALSE,"None"
"IFNAR2",7.86633561391291,0.544225713565917,0.0776071161023611,0.0178254746948849,"Early",FALSE,"None"
"ITGAX",7.31306864179306,-0.531431929367169,0.0797864126860368,0.0185834461904716,"Early",FALSE,"None"
"C10orf54",10.4022812145205,0.489981623324235,0.0771415332849555,0.0175370570787277,"Early",FALSE,"None"
"BID",9.04933776724456,0.414231967243172,0.0776071161023611,0.0179552612166078,"Early",FALSE,"None"
"CD81",9.75543940794245,0.389773780597553,0.0776071161023611,0.0179676168382036,"Early",FALSE,"None"
"FOS",10.8173173891597,-0.969930706184476,0.0798863891190077,0.018718149751734,"Early",FALSE,"None"
"JUN",6.44317332107973,-0.550275471314097,0.0899773327928663,0.0212645797610833,"Early",FALSE,"None"
"HLA-B",13.4125022449875,0.758970446851254,0.0899773327928663,0.0214590291598049,"Early",FALSE,"None"
"CXCL3",7.94959617002054,0.655648324893535,0.0903254785832966,0.0217752619890934,"Early",FALSE,"None"
"CD82",8.30320663702759,-0.728870874633325,0.0899773327928663,0.0214121568812375,"Early",FALSE,"None"
"CD86",7.87198033209392,0.41682907842122,0.0903254785832966,0.0219251648012459,"Early",FALSE,"None"
"KIR3DS1",6.27166909297268,-0.869781345079067,0.0929265114860743,0.023069622098356,"Early",FALSE,"None"
"CD28",7.72681583201174,-0.477823526714304,0.0918535934657887,0.0226751548723077,"Early",FALSE,"None"
"ATM",8.23373155834732,-0.584424615734331,0.0910458359428131,0.0223487686554186,"Early",FALSE,"None"
"CARD9",6.41449867717944,0.576191581734654,0.0967402946353185,0.0244211901380651,"Early",FALSE,"None"
"CIITA",7.56240671492839,0.639868182834867,0.0956948702416086,0.0240238167970566,"Early",FALSE,"None"
"KLRK1",9.00908537509904,-0.83205647079776,0.0948722322732407,0.0236849784894143,"Early",FALSE,"None"
"SRC",6.20927493989461,0.498709537493101,0.10498235071131,0.0270874963481066,"Early",FALSE,"None"
"FCGR2B",7.76962651678489,0.716496811312224,0.102680712493526,0.026207211138515,"Early",FALSE,"None"
"CR1",5.81874969512122,-0.836912460517629,0.105597396921856,0.0273953123059732,"Early",FALSE,"None"
"SIGIRR",7.97439790503219,-0.783797687513522,0.103786186845549,0.0266341121054128,"Early",FALSE,"None"
"CXCR4",10.3905611581059,-0.444720977769846,0.100698253738688,0.0255607840731398,"Early",FALSE,"None"
"PTGER2",5.12001138008623,-0.365136891550387,0.0903254785832966,0.0218630915053806,"Early",FALSE,"None"
"IL7",7.33394077407207,-0.604954148585402,0.107378848598083,0.0283048847769005,"Early",FALSE,"None"
"CR2",5.01830724178553,-0.337164251046716,0.0903254785832966,0.0220459675761184,"Early",FALSE,"None"
"UBE2L3",9.93145848771918,0.385288749470599,0.105597396921856,0.027637950805548,"Early",FALSE,"None"
"MAX",11.0990593734455,0.350050938367719,0.113437251324707,0.0302182914965398,"Early",FALSE,"None"
"FYN",9.70441082897042,-0.530295779785504,0.111796047351259,0.0296251729382695,"Early",FALSE,"None"
"RAF1",7.88070873416791,-0.346390995873067,0.116682606131332,0.031245551432658,"Early",FALSE,"None"
"IL1R2",8.7258022671565,-1.32958539776548,0.118186124341133,0.0318130013916857,"Early",FALSE,"None"
"ADA",6.50076880555381,-0.507723427604173,0.127596154265343,0.0357164317939887,"Early",FALSE,"None"
"FCGR3",8.71373678807464,0.635062547501239,0.119155563010728,0.03224013838784,"Early",FALSE,"None"
"CSF1R",7.64253075399537,0.745686757183851,0.120089674822076,0.0328278608997585,"Early",FALSE,"None"
"LIMK1",5.54721911330074,-0.443502926709265,0.105597396921856,0.0276880203923416,"Early",FALSE,"None"
"C1QA",6.44291651382185,1.00885722537104,0.119826169735307,0.032588707250188,"Early",FALSE,"None"
"CD1C",6.93805407734864,-0.571674816494085,0.126235449660294,0.0348599986509597,"Early",FALSE,"None"
"MEF2D",7.17857014491494,-0.26448425991774,0.131725274960179,0.037110886390455,"Early",FALSE,"None"
"ALOX5",6.30285019731124,-0.588620628970837,0.138856592477179,0.0393136517055333,"Early",FALSE,"None"
"USP9Y",9.93139113225364,-0.380077574147855,0.126307391289103,0.0350560263131541,"Early",FALSE,"None"
"MSR1",5.34661328838998,0.529305527397787,0.122959619145584,0.0337838842003906,"Early",FALSE,"None"
"ITGB2",9.25665294227895,-0.417777574034142,0.140106530274361,0.0398629458521193,"Early",FALSE,"None"
"PRKCD",8.24189396345279,0.460447920157117,0.148448677759057,0.0424434852728127,"Early",FALSE,"None"
"IL2RG",9.4076452287685,-0.513963141524679,0.154252200282934,0.044317926441122,"Early",FALSE,"None"
"PTPN2",8.6513120186501,0.35287683563803,0.158387522886491,0.0457269417538405,"Early",FALSE,"None"
"ITGAE",4.91961713526676,-0.232360618583159,0.127596154265343,0.035769633204092,"Early",FALSE,"None"
"CCR6",5.86503993243159,-0.440382201891128,0.193267535498406,0.0584924061410797,"Early",FALSE,"None"
"GPI",9.81183542437771,-0.48803443127251,0.17530558863107,0.0513447330718616,"Early",FALSE,"None"
"ATG16L1",5.79330580785726,-0.445370090033942,0.172406698580982,0.0502552301303002,"Early",FALSE,"None"
"CD8A",8.14170630247869,-0.666402784537726,0.187761058173866,0.0560402600407356,"Early",FALSE,"None"
"IGF2R",10.7850184532539,0.550814022335297,0.182621300431436,0.053742112121385,"Early",FALSE,"None"
"CCL5",8.75908114365567,-0.620940947556679,0.186074843213056,0.0552774638833764,"Early",FALSE,"None"
"TRAF5",6.5692627930526,-0.584892334426283,0.198948181553602,0.0613215454997851,"Early",FALSE,"None"
"CD74",13.2315083374313,0.544582140258981,0.194568136051605,0.0591573970142956,"Early",FALSE,"None"
